expense_id,date,vendor,category,description,amount,tax_amount,currency,payment_method,is_billable,notes
EXP-5082,2025-06-17,Avalara Sales Tax,Software & Subscriptions,Sales tax automation subscription,82.16,0.00,USD,Business Credit Card,no,
EXP-5042,2025-06-17,USPS,Shipping & Postage,First-class & priority shipping,30.91,0.00,USD,Business Credit Card,no,
EXP-5071,2025-06-17,Meta Ads,Advertising & Marketing,Facebook & Instagram ad spend,677.42,0.00,USD,Business Credit Card,no,
EXP-5080,2025-06-18,Adobe Creative Cloud,Software & Subscriptions,Design software subscription,63.94,0.00,USD,Business Credit Card,no,
EXP-5061,2025-06-18,ShipStation,Software & Subscriptions,Monthly subscription,32.77,0.00,USD,Business Credit Card,no,
EXP-5073,2025-06-18,Meta Ads,Advertising & Marketing,Facebook & Instagram ad spend,1256.96,0.00,USD,Business Credit Card,no,
EXP-5037,2025-06-19,UPS,Shipping & Postage,Outbound shipping labels,279.06,0.00,USD,Business Credit Card,no,
EXP-5077,2025-06-20,TikTok Ads,Advertising & Marketing,Paid social campaign,235.95,0.00,USD,Business Credit Card,no,
EXP-5086,2025-06-20,Uline Packaging,Packaging & Supplies,"Boxes, mailers, void fill",1058.19,0.00,USD,ACH,no,
EXP-5064,2025-06-21,Stripe Fees,Bank & Processor Fees,Card processing fees,589.61,0.00,USD,Business Credit Card,no,
EXP-5078,2025-06-21,TikTok Ads,Advertising & Marketing,Paid social campaign,1523.59,0.00,USD,Business Credit Card,no,
EXP-5088,2025-06-21,EcoEnclose,Packaging & Supplies,Compostable mailers and tissue,990.09,0.00,USD,ACH,no,
EXP-5065,2025-06-21,Stripe Fees,Bank & Processor Fees,Card processing fees,326.84,0.00,USD,Business Credit Card,no,
EXP-5039,2025-06-22,UPS,Shipping & Postage,Outbound shipping labels,362.00,0.00,USD,Business Credit Card,no,
EXP-5053,2025-06-22,USPS,Shipping & Postage,First-class & priority shipping,179.04,0.00,USD,Business Credit Card,no,
EXP-5085,2025-06-22,Pacific Coast Textiles,Cost of Goods Sold,Fabric raw material order,2007.27,0.00,USD,Business Credit Card,no,
EXP-5079,2025-06-22,TikTok Ads,Advertising & Marketing,Paid social campaign,806.63,0.00,USD,Business Credit Card,no,
EXP-5089,2025-06-22,WeWork Studio Space,Rent,Monthly studio rent,1850.00,0.00,USD,ACH,no,
EXP-5038,2025-06-22,UPS,Shipping & Postage,Outbound shipping labels,344.34,0.00,USD,Business Credit Card,no,
EXP-5047,2025-06-22,USPS,Shipping & Postage,First-class & priority shipping,64.63,0.00,USD,Business Credit Card,no,
EXP-5044,2025-06-22,USPS,Shipping & Postage,First-class & priority shipping,19.25,0.00,USD,Business Credit Card,no,
EXP-5058,2025-06-22,FedEx,Shipping & Postage,Express shipments,43.42,0.00,USD,Business Credit Card,no,
EXP-5032,2025-06-23,UPS,Shipping & Postage,Outbound shipping labels,316.24,0.00,USD,Business Credit Card,no,
EXP-5035,2025-06-23,UPS,Shipping & Postage,Outbound shipping labels,66.01,0.00,USD,Business Credit Card,no,
EXP-5034,2025-06-23,UPS,Shipping & Postage,Outbound shipping labels,310.06,0.00,USD,Business Credit Card,no,
EXP-5057,2025-06-23,FedEx,Shipping & Postage,Express shipments,189.02,0.00,USD,Business Credit Card,no,
EXP-5092,2025-06-24,Pacific Gas & Electric,Utilities,Studio utilities,202.22,0.00,USD,ACH,no,
EXP-5054,2025-06-24,FedEx,Shipping & Postage,Express shipments,406.51,0.00,USD,Business Credit Card,no,
EXP-5067,2025-06-25,PayPal Fees,Bank & Processor Fees,Processing fees,236.10,0.00,USD,Business Credit Card,no,
EXP-5050,2025-06-25,USPS,Shipping & Postage,First-class & priority shipping,132.63,0.00,USD,Business Credit Card,no,
EXP-5056,2025-06-26,FedEx,Shipping & Postage,Express shipments,497.08,0.00,USD,Business Credit Card,no,
EXP-5049,2025-06-26,USPS,Shipping & Postage,First-class & priority shipping,75.06,0.00,USD,Business Credit Card,no,
EXP-5093,2025-06-27,AT&T Business,Utilities,Business internet & phone,143.71,0.00,USD,ACH,no,
EXP-5074,2025-06-28,Google Ads,Advertising & Marketing,Search & shopping ads,1052.16,0.00,USD,Business Credit Card,no,
EXP-5063,2025-06-28,Klaviyo,Software & Subscriptions,Email marketing platform,180.13,0.00,USD,Business Credit Card,no,
EXP-5133,2025-07-01,PayPal Fees,Bank & Processor Fees,Processing fees,189.68,0.00,USD,Business Credit Card,no,
EXP-5098,2025-07-01,UPS,Shipping & Postage,Outbound shipping labels,305.40,0.00,USD,Business Credit Card,no,
EXP-5109,2025-07-02,USPS,Shipping & Postage,First-class & priority shipping,47.65,0.00,USD,Business Credit Card,no,
EXP-5108,2025-07-02,USPS,Shipping & Postage,First-class & priority shipping,26.48,0.00,USD,Business Credit Card,no,
EXP-5141,2025-07-04,Google Ads,Advertising & Marketing,Search & shopping ads,800.24,0.00,USD,Business Credit Card,no,
EXP-5096,2025-07-04,UPS,Shipping & Postage,Outbound shipping labels,90.34,0.00,USD,Business Credit Card,no,
EXP-5154,2025-07-05,Pacific Gas & Electric,Utilities,Studio utilities,289.51,0.00,USD,ACH,no,
EXP-5132,2025-07-05,PayPal Fees,Bank & Processor Fees,Processing fees,52.59,0.00,USD,Business Credit Card,no,
EXP-5139,2025-07-06,Google Ads,Advertising & Marketing,Search & shopping ads,935.09,0.00,USD,Business Credit Card,no,
EXP-5146,2025-07-07,AWS,Software & Subscriptions,Cloud hosting & storage,381.21,0.00,USD,Business Credit Card,no,
EXP-5099,2025-07-07,UPS,Shipping & Postage,Outbound shipping labels,325.72,0.00,USD,Business Credit Card,no,
EXP-5148,2025-07-08,Northern Leather Supply,Cost of Goods Sold,Leather raw material order,1385.24,0.00,USD,ACH,no,
EXP-5112,2025-07-09,USPS,Shipping & Postage,First-class & priority shipping,101.39,0.00,USD,Business Credit Card,no,
EXP-5110,2025-07-09,USPS,Shipping & Postage,First-class & priority shipping,136.59,0.00,USD,Business Credit Card,no,
EXP-5150,2025-07-10,Cedar Mill Lumber Co,Cost of Goods Sold,Cedar planter material,1551.29,0.00,USD,ACH,no,
EXP-5149,2025-07-11,Pacific Coast Textiles,Cost of Goods Sold,Fabric raw material order,2650.90,0.00,USD,Business Credit Card,no,
EXP-5152,2025-07-11,EcoEnclose,Packaging & Supplies,Compostable mailers and tissue,504.95,0.00,USD,ACH,no,
EXP-5151,2025-07-12,Uline Packaging,Packaging & Supplies,"Boxes, mailers, void fill",1496.17,0.00,USD,Business Credit Card,no,
EXP-5137,2025-07-12,Meta Ads,Advertising & Marketing,Facebook & Instagram ad spend,1046.95,0.00,USD,Business Credit Card,no,
EXP-5115,2025-07-13,USPS,Shipping & Postage,First-class & priority shipping,163.55,0.00,USD,Business Credit Card,no,
EXP-5134,2025-07-13,PayPal Fees,Bank & Processor Fees,Processing fees,178.83,0.00,USD,Business Credit Card,no,
EXP-5114,2025-07-14,USPS,Shipping & Postage,First-class & priority shipping,80.04,0.00,USD,Business Credit Card,no,
EXP-5113,2025-07-15,USPS,Shipping & Postage,First-class & priority shipping,153.47,0.00,USD,Business Credit Card,no,
EXP-5107,2025-07-15,USPS,Shipping & Postage,First-class & priority shipping,173.75,0.00,USD,Business Credit Card,no,
EXP-5155,2025-07-16,AT&T Business,Utilities,Business internet & phone,121.86,0.00,USD,ACH,no,
EXP-5120,2025-07-17,FedEx,Shipping & Postage,Express shipments,79.21,0.00,USD,Business Credit Card,no,
EXP-5131,2025-07-18,PayPal Fees,Bank & Processor Fees,Processing fees,281.80,0.00,USD,Business Credit Card,no,
EXP-5116,2025-07-18,USPS,Shipping & Postage,First-class & priority shipping,7.38,0.00,USD,Business Credit Card,no,
EXP-5125,2025-07-18,Shopify,Software & Subscriptions,Monthly storefront subscription,127.37,0.00,USD,Business Credit Card,no,
EXP-5156,2025-07-18,Bench Bookkeeping,Professional Services,Monthly bookkeeping service,249.00,0.00,USD,ACH,no,
EXP-5118,2025-07-19,FedEx,Shipping & Postage,Express shipments,42.54,0.00,USD,Business Credit Card,no,
EXP-5153,2025-07-21,WeWork Studio Space,Rent,Monthly studio rent,1850.00,0.00,USD,ACH,no,
EXP-5138,2025-07-21,Meta Ads,Advertising & Marketing,Facebook & Instagram ad spend,3605.84,0.00,USD,Business Credit Card,no,
EXP-5130,2025-07-21,Stripe Fees,Bank & Processor Fees,Card processing fees,331.04,0.00,USD,Business Credit Card,no,
EXP-5101,2025-07-22,UPS,Shipping & Postage,Outbound shipping labels,210.53,0.00,USD,Business Credit Card,no,
EXP-5106,2025-07-22,USPS,Shipping & Postage,First-class & priority shipping,41.98,0.00,USD,Business Credit Card,no,
EXP-5136,2025-07-24,Meta Ads,Advertising & Marketing,Facebook & Instagram ad spend,3814.19,0.00,USD,Business Credit Card,no,
EXP-5104,2025-07-24,UPS,Shipping & Postage,Outbound shipping labels,374.80,0.00,USD,Business Credit Card,no,
EXP-5117,2025-07-24,USPS,Shipping & Postage,First-class & priority shipping,150.69,0.00,USD,Business Credit Card,no,
EXP-5143,2025-07-25,TikTok Ads,Advertising & Marketing,Paid social campaign,2245.80,0.00,USD,Business Credit Card,no,
EXP-5100,2025-07-25,UPS,Shipping & Postage,Outbound shipping labels,111.77,0.00,USD,Business Credit Card,no,
EXP-5123,2025-07-25,FedEx,Shipping & Postage,Express shipments,575.65,0.00,USD,Business Credit Card,no,
EXP-5097,2025-07-25,UPS,Shipping & Postage,Outbound shipping labels,263.77,0.00,USD,Business Credit Card,no,
EXP-5129,2025-07-26,Stripe Fees,Bank & Processor Fees,Card processing fees,716.37,0.00,USD,Business Credit Card,no,
EXP-5121,2025-07-26,FedEx,Shipping & Postage,Express shipments,429.96,0.00,USD,Business Credit Card,no,
EXP-5126,2025-07-26,Klaviyo,Software & Subscriptions,Email marketing platform,288.23,0.00,USD,Business Credit Card,no,
EXP-5140,2025-07-27,Google Ads,Advertising & Marketing,Search & shopping ads,1044.38,0.00,USD,Business Credit Card,no,
EXP-5119,2025-07-28,FedEx,Shipping & Postage,Express shipments,58.92,0.00,USD,Business Credit Card,no,
EXP-5142,2025-07-28,TikTok Ads,Advertising & Marketing,Paid social campaign,244.01,0.00,USD,Business Credit Card,no,
EXP-5166,2025-08-02,UPS,Shipping & Postage,Outbound shipping labels,270.15,0.00,USD,Business Credit Card,no,
EXP-5184,2025-08-03,FedEx,Shipping & Postage,Express shipments,174.94,0.00,USD,Business Credit Card,no,
EXP-5173,2025-08-03,USPS,Shipping & Postage,First-class & priority shipping,98.85,0.00,USD,Business Credit Card,no,
EXP-5189,2025-08-04,Klaviyo,Software & Subscriptions,Email marketing platform,259.64,0.00,USD,Business Credit Card,no,
EXP-5201,2025-08-05,Meta Ads,Advertising & Marketing,Facebook & Instagram ad spend,1959.59,0.00,USD,Business Credit Card,no,
EXP-5158,2025-08-05,UPS,Shipping & Postage,Outbound shipping labels,429.13,0.00,USD,Business Credit Card,no,
EXP-5221,2025-08-05,AT&T Business,Utilities,Business internet & phone,96.71,0.00,USD,ACH,no,
EXP-5211,2025-08-06,Avalara Sales Tax,Software & Subscriptions,Sales tax automation subscription,89.15,0.00,USD,Business Credit Card,no,
EXP-5179,2025-08-06,USPS,Shipping & Postage,First-class & priority shipping,47.92,0.00,USD,Business Credit Card,no,
EXP-5213,2025-08-06,Pacific Coast Textiles,Cost of Goods Sold,Fabric raw material order,2779.56,0.00,USD,Business Credit Card,no,
EXP-5204,2025-08-06,Google Ads,Advertising & Marketing,Search & shopping ads,1418.80,0.00,USD,Business Credit Card,no,
EXP-5186,2025-08-07,FedEx,Shipping & Postage,Express shipments,328.32,0.00,USD,Business Credit Card,no,
EXP-5215,2025-08-07,Uline Packaging,Packaging & Supplies,"Boxes, mailers, void fill",929.74,0.00,USD,Business Credit Card,no,
EXP-5203,2025-08-07,Google Ads,Advertising & Marketing,Search & shopping ads,693.82,0.00,USD,Business Credit Card,no,
EXP-5185,2025-08-08,FedEx,Shipping & Postage,Express shipments,40.90,0.00,USD,Business Credit Card,no,
EXP-5197,2025-08-08,PayPal Fees,Bank & Processor Fees,Processing fees,172.49,0.00,USD,Business Credit Card,no,
EXP-5175,2025-08-08,USPS,Shipping & Postage,First-class & priority shipping,204.43,0.00,USD,Business Credit Card,no,
EXP-5210,2025-08-08,AWS,Software & Subscriptions,Cloud hosting & storage,135.53,0.00,USD,Business Credit Card,no,
EXP-5157,2025-08-09,UPS,Shipping & Postage,Outbound shipping labels,413.88,0.00,USD,Business Credit Card,no,
EXP-5169,2025-08-12,USPS,Shipping & Postage,First-class & priority shipping,97.84,0.00,USD,Business Credit Card,no,
EXP-5193,2025-08-13,Stripe Fees,Bank & Processor Fees,Card processing fees,549.87,0.00,USD,Business Credit Card,no,
EXP-5206,2025-08-14,TikTok Ads,Advertising & Marketing,Paid social campaign,1969.47,0.00,USD,Business Credit Card,no,
EXP-5172,2025-08-15,USPS,Shipping & Postage,First-class & priority shipping,123.26,0.00,USD,Business Credit Card,no,
EXP-5188,2025-08-15,ShipStation,Software & Subscriptions,Monthly subscription,90.71,0.00,USD,Business Credit Card,no,
EXP-5178,2025-08-17,USPS,Shipping & Postage,First-class & priority shipping,38.85,0.00,USD,Business Credit Card,no,
EXP-5174,2025-08-17,USPS,Shipping & Postage,First-class & priority shipping,8.48,0.00,USD,Business Credit Card,no,
EXP-5202,2025-08-17,Google Ads,Advertising & Marketing,Search & shopping ads,2380.69,0.00,USD,Business Credit Card,no,
EXP-5222,2025-08-17,Bench Bookkeeping,Professional Services,Monthly bookkeeping service,249.00,0.00,USD,ACH,no,
EXP-5167,2025-08-18,UPS,Shipping & Postage,Outbound shipping labels,430.39,0.00,USD,Business Credit Card,no,
EXP-5192,2025-08-18,Stripe Fees,Bank & Processor Fees,Card processing fees,484.72,0.00,USD,Business Credit Card,no,
EXP-5180,2025-08-19,USPS,Shipping & Postage,First-class & priority shipping,160.30,0.00,USD,Business Credit Card,no,
EXP-5165,2025-08-19,UPS,Shipping & Postage,Outbound shipping labels,111.57,0.00,USD,Business Credit Card,no,
EXP-5214,2025-08-19,Cedar Mill Lumber Co,Cost of Goods Sold,Cedar planter material,1451.34,0.00,USD,Business Credit Card,no,
EXP-5164,2025-08-19,UPS,Shipping & Postage,Outbound shipping labels,201.60,0.00,USD,Business Credit Card,no,
EXP-5217,2025-08-20,EcoEnclose,Packaging & Supplies,Compostable mailers and tissue,368.38,0.00,USD,ACH,no,
EXP-5200,2025-08-20,Meta Ads,Advertising & Marketing,Facebook & Instagram ad spend,226.39,0.00,USD,Business Credit Card,no,
EXP-5208,2025-08-22,TikTok Ads,Advertising & Marketing,Paid social campaign,1211.70,0.00,USD,Business Credit Card,no,
EXP-5219,2025-08-22,WeWork Studio Space,Rent,Monthly studio rent,1850.00,0.00,USD,ACH,no,
EXP-5205,2025-08-23,Google Ads,Advertising & Marketing,Search & shopping ads,2973.99,0.00,USD,Business Credit Card,no,
EXP-5191,2025-08-24,Stripe Fees,Bank & Processor Fees,Card processing fees,245.39,0.00,USD,Business Credit Card,no,
EXP-5207,2025-08-24,TikTok Ads,Advertising & Marketing,Paid social campaign,378.41,0.00,USD,Business Credit Card,no,
EXP-5183,2025-08-25,FedEx,Shipping & Postage,Express shipments,310.02,0.00,USD,Business Credit Card,no,
EXP-5187,2025-08-26,FedEx,Shipping & Postage,Express shipments,233.56,0.00,USD,Business Credit Card,no,
EXP-5190,2025-08-27,Stripe Fees,Bank & Processor Fees,Card processing fees,253.33,0.00,USD,Business Credit Card,no,
EXP-5216,2025-08-28,Uline Packaging,Packaging & Supplies,"Boxes, mailers, void fill",981.04,0.00,USD,ACH,no,
EXP-5198,2025-08-28,Meta Ads,Advertising & Marketing,Facebook & Instagram ad spend,1580.13,0.00,USD,Business Credit Card,no,
EXP-5171,2025-08-28,USPS,Shipping & Postage,First-class & priority shipping,74.09,0.00,USD,Business Credit Card,no,
EXP-5162,2025-08-28,UPS,Shipping & Postage,Outbound shipping labels,249.36,0.00,USD,Business Credit Card,no,
EXP-5267,2025-09-01,Meta Ads,Advertising & Marketing,Facebook & Instagram ad spend,3417.48,0.00,USD,Business Credit Card,no,
EXP-5244,2025-09-01,USPS,Shipping & Postage,First-class & priority shipping,171.94,0.00,USD,Business Credit Card,no,
EXP-5229,2025-09-01,UPS,Shipping & Postage,Outbound shipping labels,431.78,0.00,USD,Business Credit Card,no,
EXP-5247,2025-09-01,USPS,Shipping & Postage,First-class & priority shipping,93.76,0.00,USD,Business Credit Card,no,
EXP-5282,2025-09-02,Avalara Sales Tax,Software & Subscriptions,Sales tax automation subscription,112.77,0.00,USD,Business Credit Card,no,
EXP-5280,2025-09-02,Adobe Creative Cloud,Software & Subscriptions,Design software subscription,74.59,0.00,USD,Business Credit Card,no,
EXP-5275,2025-09-02,TikTok Ads,Advertising & Marketing,Paid social campaign,2276.23,0.00,USD,Business Credit Card,no,
EXP-5266,2025-09-02,PayPal Fees,Bank & Processor Fees,Processing fees,64.03,0.00,USD,Business Credit Card,no,
EXP-5270,2025-09-03,Meta Ads,Advertising & Marketing,Facebook & Instagram ad spend,1252.37,0.00,USD,Business Credit Card,no,
EXP-5262,2025-09-04,PayPal Fees,Bank & Processor Fees,Processing fees,80.41,0.00,USD,Business Credit Card,no,
EXP-5291,2025-09-04,AT&T Business,Utilities,Business internet & phone,146.01,0.00,USD,ACH,no,
EXP-5260,2025-09-04,Stripe Fees,Bank & Processor Fees,Card processing fees,623.30,0.00,USD,Business Credit Card,no,
EXP-5223,2025-09-06,UPS,Shipping & Postage,Outbound shipping labels,234.71,0.00,USD,Business Credit Card,no,
EXP-5288,2025-09-07,EcoEnclose,Packaging & Supplies,Compostable mailers and tissue,780.28,0.00,USD,Business Credit Card,no,
EXP-5248,2025-09-07,USPS,Shipping & Postage,First-class & priority shipping,166.94,0.00,USD,Business Credit Card,no,
EXP-5234,2025-09-08,UPS,Shipping & Postage,Outbound shipping labels,451.18,0.00,USD,Business Credit Card,no,
EXP-5289,2025-09-09,WeWork Studio Space,Rent,Monthly studio rent,1850.00,0.00,USD,ACH,no,
EXP-5251,2025-09-09,FedEx,Shipping & Postage,Express shipments,173.09,0.00,USD,Business Credit Card,no,
EXP-5257,2025-09-10,Klaviyo,Software & Subscriptions,Email marketing platform,221.18,0.00,USD,Business Credit Card,no,
EXP-5232,2025-09-12,UPS,Shipping & Postage,Outbound shipping labels,421.42,0.00,USD,Business Credit Card,no,
EXP-5287,2025-09-12,Uline Packaging,Packaging & Supplies,"Boxes, mailers, void fill",1741.99,0.00,USD,Business Credit Card,no,
EXP-5271,2025-09-12,Meta Ads,Advertising & Marketing,Facebook & Instagram ad spend,520.16,0.00,USD,Business Credit Card,no,
EXP-5284,2025-09-12,Pacific Coast Textiles,Cost of Goods Sold,Fabric raw material order,3419.19,0.00,USD,Business Credit Card,no,
EXP-5256,2025-09-12,Shopify,Software & Subscriptions,Monthly storefront subscription,202.00,0.00,USD,Business Credit Card,no,
EXP-5253,2025-09-12,FedEx,Shipping & Postage,Express shipments,385.19,0.00,USD,Business Credit Card,no,
EXP-5258,2025-09-13,Stripe Fees,Bank & Processor Fees,Card processing fees,613.91,0.00,USD,Business Credit Card,no,
EXP-5272,2025-09-13,Google Ads,Advertising & Marketing,Search & shopping ads,3362.94,0.00,USD,Business Credit Card,no,
EXP-5273,2025-09-13,Google Ads,Advertising & Marketing,Search & shopping ads,2279.76,0.00,USD,Business Credit Card,no,
EXP-5263,2025-09-13,PayPal Fees,Bank & Processor Fees,Processing fees,254.75,0.00,USD,Business Credit Card,no,
EXP-5243,2025-09-14,USPS,Shipping & Postage,First-class & priority shipping,66.33,0.00,USD,Business Credit Card,no,
EXP-5250,2025-09-14,FedEx,Shipping & Postage,Express shipments,409.20,0.00,USD,Business Credit Card,no,
EXP-5231,2025-09-14,UPS,Shipping & Postage,Outbound shipping labels,256.32,0.00,USD,Business Credit Card,no,
EXP-5277,2025-09-16,TikTok Ads,Advertising & Marketing,Paid social campaign,1120.86,0.00,USD,Business Credit Card,no,
EXP-5285,2025-09-17,Cedar Mill Lumber Co,Cost of Goods Sold,Cedar planter material,337.51,0.00,USD,ACH,no,
EXP-5274,2025-09-17,Google Ads,Advertising & Marketing,Search & shopping ads,1159.72,0.00,USD,Business Credit Card,no,
EXP-5252,2025-09-18,FedEx,Shipping & Postage,Express shipments,271.25,0.00,USD,Business Credit Card,no,
EXP-5255,2025-09-18,ShipStation,Software & Subscriptions,Monthly subscription,83.87,0.00,USD,Business Credit Card,no,
EXP-5286,2025-09-18,Uline Packaging,Packaging & Supplies,"Boxes, mailers, void fill",669.50,0.00,USD,Business Credit Card,no,
EXP-5292,2025-09-18,Hartford Business Insurance,Insurance,Annual business policy,340.00,0.00,USD,ACH,no,
EXP-5236,2025-09-19,USPS,Shipping & Postage,First-class & priority shipping,194.28,0.00,USD,Business Credit Card,no,
EXP-5238,2025-09-19,USPS,Shipping & Postage,First-class & priority shipping,28.87,0.00,USD,Business Credit Card,no,
EXP-5242,2025-09-20,USPS,Shipping & Postage,First-class & priority shipping,211.16,0.00,USD,Business Credit Card,no,
EXP-5269,2025-09-20,Meta Ads,Advertising & Marketing,Facebook & Instagram ad spend,1941.51,0.00,USD,Business Credit Card,no,
EXP-5224,2025-09-20,UPS,Shipping & Postage,Outbound shipping labels,292.71,0.00,USD,Business Credit Card,no,
EXP-5228,2025-09-20,UPS,Shipping & Postage,Outbound shipping labels,264.39,0.00,USD,Business Credit Card,no,
EXP-5254,2025-09-22,FedEx,Shipping & Postage,Express shipments,255.46,0.00,USD,Business Credit Card,no,
EXP-5265,2025-09-23,PayPal Fees,Bank & Processor Fees,Processing fees,223.79,0.00,USD,Business Credit Card,no,
EXP-5293,2025-09-23,Bench Bookkeeping,Professional Services,Monthly bookkeeping service,249.00,0.00,USD,ACH,no,
EXP-5233,2025-09-23,UPS,Shipping & Postage,Outbound shipping labels,259.95,0.00,USD,Business Credit Card,no,
EXP-5240,2025-09-25,USPS,Shipping & Postage,First-class & priority shipping,60.41,0.00,USD,Business Credit Card,no,
EXP-5235,2025-09-25,USPS,Shipping & Postage,First-class & priority shipping,95.21,0.00,USD,Business Credit Card,no,
